2018-11-19 09:54:12.361914, 'President Donald J. Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
2018-11-19 09:54:12.362311, 'President Donald J. Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064526362994778113?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-19 09:54:12.362614, 'President Donald J. Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064246787161145346?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-19 09:54:12.362890, 'President Donald J. Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064245710747590657?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-19 09:54:12.363146, 'President Donald J. Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064227483187318784?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-19 09:54:12.363448, 'President Donald J. Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064216956679716864?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-19 09:54:12.363749, 'President Donald J. Trump', 'www.facebook.com', 'https://www.facebook.com/POTUS/'
2018-11-19 09:54:12.364026, 'President Donald J. Trump', 'www.twitter.com', 'http://www.twitter.com/realdonaldtrump'
2018-11-19 09:54:12.364440, 'President Donald J. Trump', 'www.instagram.com', 'http://www.instagram.com/realdonaldtrump'
2018-11-19 09:54:12.364979, 'President Donald J. Trump', 'www.youtube.com', 'https://www.youtube.com/DonaldTrump'
2018-11-19 09:54:12.378001, 'President Donald J. Trump', '', '/search?q=President+Donald+J.+Trump&num=100&source=univ&tbm=shop&tbo=u&sa=X&ved=0ahUKEwir5Kj-2uDeAhUEbbwKHetWCSkQsxgIKw'
2018-11-19 09:54:12.378296, 'President Donald J. Trump', 'www.whitehouse.gov', 'https://www.whitehouse.gov/people/donald-j-trump/'
