0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||www.baltimoresun.com|news|maryland|politics|bs-md-marlyand-emoluments-20180328-story.html.html,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.bbc.com|news|world-europe-46212727.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.breitbart.com|the-media|2018|11|18|politico-accuses-trump-of-cyberbullying-little-adam-schitt|.html,6,4,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
https|||www.britannica.com|biography|Donald-Trump.html,23,8,1,0,0,0,0,0,0,0,0,40,15,0,0,0,0,0,0,0,0,0,0,0,
https|||www.brookings.edu|research|presidential-obstruction-of-justice-the-case-of-donald-j-trump-2nd-edition|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.businessinsider.com|donald-trump-oldest-president-us-history-2016-11.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.c-span.org|person||donaldtrump.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.cnbc.com|donald-trump|.html,6,2,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,
https|||www.cnn.com|2018|11|19|politics|trump-combative-weekend-rocky-road|index.html.html,4,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,
https|||www.cnn.com|specials|politics|president-donald-trump-45.html,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.dhs.gov|blog|2018|02|15|department-homeland-security-statement-president-donald-j-trump-signing-blue.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.doi.gov|pressreleases|president-donald-j-trump-signs-executive-order-break-nations-dependence-foreign.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.dol.gov|newsroom|releases|osec|osec20180619.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.donaldjtrump.com|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.donaldjtrump.com|media|.html,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.facebook.com|POTUS|.html,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.fema.gov|news-release|2018|11|13|president-donald-j-trump-approves-major-disaster-declaration-california.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
