0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||www.bbc.com|news|world-europe-46256296.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.bbc.com|news|world-us-canada-37999969.html,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.bloomberg.com|billionaires|profiles|donald-j-trump|.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.breitbart.com|politics|2018|11|18|democrats-to-investigate-why-trump-wants-u-s-citizens-counted-on-2020-census|.html,10,6,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,
https|||www.businessinsider.com|donald-trump-oldest-president-us-history-2016-11.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.bustle.com|donald-trump.html,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.c-span.org|person||donaldtrump.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.capitalgazette.com|topic|politics-government|donald-trump-PEBSL000163-topic.html.html,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.cbsnews.com|news|trump-tweet-about-california-fires-firefighter-union-president-responds-for-what-president-said-about-california-wildfires|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.chicagotribune.com|topic|politics-government|donald-trump-PEBSL000163-topic.html.html,5,4,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.cnbc.com|donald-trump|.html,6,2,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,
https|||www.cnn.com|2013|07|04|us|donald-trump-fast-facts|index.html.html,9,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.cnn.com|2018|11|18|politics|donald-trump-william-mcraven|index.html.html,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,2,
https|||www.cnn.com|2018|11|18|politics|trump-schiff-little-adam-schitt-tweet|index.html.html,4,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.cnn.com|videos|politics|2018|11|18|president-trump-slams-admiral-who-led-bin-laden-raid-orig-ec.cnn.html,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.courant.com|topic|politics-government|donald-trump-PEBSL000163-topic.html.html,13,4,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,
https|||www.dailymail.co.uk|news|donald_trump|index.html.html,35,24,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,
https|||www.donaldjtrump.com|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.esquire.com|news-politics|a25126445|trump-attorney-general-russia-probe-matthew-whitaker|.html,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.express.co.uk|news|world|1047118|Donald-Trump-california-wildfire-pleasure-paradise-finland-news.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.facebook.com|DonaldTrump|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
https|||www.facebook.com|POTUS|.html,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.factcheck.org|person|donald-trump|.html,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.forbes.com|profile|donald-trump|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,
https|||www.foxnews.com|politics|trump-in-exclusive-interview-reveals-obamas-private-guidance-on-greatest-threat-to-the-u-s.html,5,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.foxnews.com|politics|trump-says-i-dont-want-to-hear-the-tape-of-purported-khashoggi-killing.html,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.france24.com|en|tag|donald-trump|.html,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.kansascity.com|news|politics-government|article221782300.html.html,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.kcra.com|article|watch-president-arrives-in-california-to-survey-wildfire-damage|25208676.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
