0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||www.cnn.com|2018|11|17|politics|trump-mike-pence-loyalty|index.html.html,1,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.cnn.com|2018|11|18|politics|finnish-president-trump-raking-forest-fires|index.html.html,1,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.cnn.com|2018|11|19|politics|trump-combative-weekend-rocky-road|index.html.html,4,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,
https|||www.courierpress.com|story|opinion|columnists|jon-webb|2018|07|03|u-s-presidents-ranked-worst-first|754965002|.html,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.coursera.org|learn|making-us-president.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.crayola.com|free-coloring-pages|people|us-presidents-coloring-pages|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.ducksters.com|biography|uspresidents|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.dw.com|en|us-president-donald-trump-visits-california-wildfire-devastation|a-46342096.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.enchantedlearning.com|history|us|pres|.html,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.express.co.uk|news|world|1044524|Donald-Trump-news-Macron-speech-nationalism-twitter-NATO-defence-EU-army.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.forbes.com|sites|robertszczerba|2015|02|16|which-u-s-president-also-served-as-an-executioner|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
