0,https|||www.newyorker.com|news|news-desk|why-is-the-trump-campaign-attacking-senator-kirsten-gillibrand.html,https|||www.newyorker.com|news|news-desk|trump-reportedly-called-sessions-a-dumb-southerner-what-do-alabama-republicans-think-of-that.html,https|||www.newyorker.com|humor|borowitz-report|military-refuses-to-participate-in-trumps-parade-citing-bone-spurs.html,https|||www.newyorker.com|news|current|trump-putin-helsinki.html,https|||www.huffingtonpost.com|entry|twitter-in-melt-down-after-trump-says-synagogue-needed-armed-guard_us_5bd5198fe4b0d38b58843468.html,https|||www.huffingtonpost.com|entry|rep-kevin-mccarthy-delete-tweet-attacking-3-jewish-money-men_us_5bd4fa98e4b0d38b58842c96.html,https|||www.breitbart.com|entertainment|2018|10|27|exclusive-blexit-in-my-own-words|.html,https|||www.breitbart.com|tech|2018|10|27|report-facebooks-political-ad-tools-allows-users-to-purchase-ads-in-the-name-of-mike-pence-isis-others|.html,https|||www.breitbart.com|politics|2018|10|27|barack-obama-complains-about-media-coverage-of-donald-trump|.html,https|||www.breitbart.com|politics|2018|10|27|watch-live-walkaway-from-democrats-rally-in-washington-dc|.html,realdonaldtrump oct2018.html,
https|||abcnews.go.com|Politics|photos|queen-elizabeth-us-presidents-16461860.html,0.9528771970639677,0.9315585504551819,0.9750494330615728,0.9488638598068931,0.9473367798419382,0.9573014756712057,0.955298967631992,0.972878952430218,0.969185922054096,0.9617810462368993,0.9300498301230113,
https|||ahvalnews.com|khashoggi-case|no-reason-hear-khashoggi-murder-recording-us-president.html,0.9549904497061593,0.9563896060489254,0.9083352781739508,0.9645539360803896,0.9504714611664921,0.9590838302082955,0.9508666109907703,0.9245258952355672,0.8929957223922119,0.8474652017126215,0.9525550986064297,
https|||en.wikipedia.org|wiki|List_of_Presidents_of_the_United_States.html,0.8702113607662844,0.8299983723603805,0.8789384706249298,0.8606751510421595,0.8972044339173422,0.8736476223448142,0.842184056996563,0.8603829228703976,0.8531233492325838,0.8515280137898131,0.8424959759660717,
https|||en.wikipedia.org|wiki|List_of_Presidents_of_the_United_States_by_net_worth.html,0.9139269520368083,0.884746150920699,0.9107167757786175,0.9189058026402436,0.9385931407240533,0.9295042013561472,0.9204523261481122,0.9182718628960563,0.89520346482342,0.8796328784602202,0.9178864011144282,
https|||en.wikipedia.org|wiki|President_of_the_United_States.html,0.9683840686455274,0.9355501999269877,0.9511084148513137,0.9666960094102007,0.9728400773929836,0.9712617426491398,0.9454459004599433,0.9399553145217647,0.9226239194497121,0.9001742902369831,0.9342618219824735,
https|||en.wikipedia.org|wiki|Seal_of_the_President_of_the_United_States.html,0.9601055917393485,0.9361230500229947,0.8995273626572162,0.9618849201608883,0.9640272371825147,0.9576447204254929,0.9275779495499742,0.8919569775524213,0.8576427715657174,0.8118386346636004,0.9392146403882201,
https|||finance.yahoo.com|news|u-vice-president-vows-no-025015439.html.html,0.9788244855264009,0.966841459511063,0.9635834510012498,0.9823918792901581,0.9843423179713185,0.9854701010476885,0.9777569842320116,0.9712926568404189,0.9539460623678001,0.925935622209329,0.9684828009319497,
https|||fox43.com|2018|11|18|vice-president-mike-pence-say-u-s-will-not-stand-for-the-murder-of-washington-post-journalist|.html,0.9773602702041774,0.974102437255972,0.9585803596483802,0.9812382677105939,0.9706855299454864,0.9828194683225119,0.9805480975621476,0.9715157980113137,0.9523156518478624,0.9177050183251761,0.9610624093355876,
https|||historicsites.vermont.gov|vt_history|presidents.html,0.9773926070719328,0.9603145396079739,0.969171303105654,0.9832585930754643,0.9699183441885945,0.9814037418061864,0.9830985128673532,0.9744635052883404,0.9554630013709607,0.9301211460473059,0.9605762988303717,
https|||history.house.gov|People|Other-Office|Member-President|.html,0.8848946760666951,0.8448578360826952,0.9443818027390255,0.8803365468990048,0.8857039008149657,0.8989749748890647,0.8915202392458497,0.9290501709913969,0.9364416881066129,0.9561601438777393,0.8392246095889474,
https|||history.howstuffworks.com|history-vs-myth|jefferson-bible.htm.html,0.9471707261541669,0.9498169363265961,0.9335684512267015,0.9393664449113194,0.9524620675012979,0.9432305315723217,0.9538340873216894,0.9496171132893919,0.9471854399640748,0.9160620117469309,0.9360113489686421,
https|||hottestheadsofstate.com|us-presidents|.html,0.9479834616545788,0.9552897750175732,0.9038320300019338,0.9408789936810262,0.9573402539142154,0.9377485284887945,0.9367727402793461,0.9153893576815517,0.9033437655902632,0.8590693412336473,0.9568761593051456,
https|||kr.usembassy.gov|education-culture|kids|us-presidents|1st-president-10th-president|.html,0.9145085351477469,0.8783026123836856,0.9714175314059814,0.9142607548925195,0.9009786470410983,0.926642026039615,0.9213822647274873,0.958902608147536,0.9622229246217866,0.9755629673705697,0.8644600023205842,
https|||millercenter.org|president.html,0.9528945287676186,0.9280813565002758,0.9658888773848249,0.9592526790205972,0.9575427953271758,0.9629556007874518,0.9643346589123352,0.966181335905351,0.9492539582337479,0.9354122666734095,0.9439600733333744,
https|||qz.com|914048|presidents-day-when-was-the-last-time-a-us-president-had-facial-hair-not-in-100-years|.html,0.9320650424322827,0.9247432628988826,0.8444568008694998,0.9400385828886888,0.9313724842916801,0.9280609879327515,0.9174190910740297,0.8597589526110688,0.8233459696972167,0.758517090944729,0.9338385599727328,
https|||sputniknews.com|us|201811171069896612-lewinsky-clinton-affair|.html,0.9738251313623,0.961386059108577,0.9661541992807644,0.9793611925329058,0.9715303863585952,0.9809306039153651,0.9883529527360005,0.9744694171425665,0.9583611366312673,0.9304136452742742,0.9646234256654103,
https|||thehill.com|hilltv|rising|403438-hayden-trump-deserves-the-respect-that-is-due-to-any-us-president.html,0.9749684881095115,0.9577714349782932,0.9570675255772747,0.9794039034075771,0.9770490080595651,0.982808295759576,0.9733004984115258,0.9614204865792498,0.9405306891823079,0.9081843295354666,0.956639948112789,
https|||thehill.com|opinion|campaign|417240-some-of-us-midwesterners-think-maybe-amy-klobuchar-would-do-okay-as.html,0.9722121968531632,0.9586888924397697,0.9708886885497217,0.9790053070112762,0.9775753958076263,0.9852791602640752,0.9874489083277723,0.9819390271305657,0.964770282402609,0.9421639213096977,0.9688394706073533,
https|||twitter.com|barackobama|lang|en.html,0.9235639642996004,0.914472322760056,0.8999770570184201,0.9307451155223865,0.9511478159987263,0.9319397471938002,0.9387351920883007,0.9157419169646854,0.8900193352311548,0.8594986307567533,0.9818176999164068,
https|||www.abc.net.au|news|2018-11-19|women-voted-for-democrats-in-record-numbers-in-2018|10503668.html,0.9521123574195212,0.9512533910205332,0.8844767728713968,0.9588496782163154,0.9565538010182916,0.9530251890040278,0.947567428314664,0.9038414712177635,0.8715097692931552,0.8129990428999776,0.9536912319511969,
