0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||twitter.com|realDonaldTrump|status|1064216956679716864|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||twitter.com|realDonaldTrump|status|1064227483187318784|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||twitter.com|realDonaldTrump|status|1064245710747590657|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||twitter.com|realDonaldTrump|status|1064246787161145346|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
https|||twitter.com|search|q|Trump|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Esearch.html,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
https|||worldnewsdailyreport.com|tag|donald-trump|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.amazon.com|Donald-Talking-Figure-Different-President|dp|B07284QZ59.html,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.apnews.com|6ef4045b710b411086e93967eb8ffc4f.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.axios.com|donald-trump-saudi-arabia-jamal-khashoggi-e6a22e39-e1a7-423b-98b1-f10843dda814.html.html,6,3,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,
https|||www.axios.com|trump-birthright-citizenship-executive-order-0cf4285a-16c6-48f2-a933-bd71fd72ea82.html.html,5,3,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,
https|||www.azcentral.com|story|news|nation|2018|11|18|president-donald-trump-visits-camp-fire-wildfire-destruction-draws-support-criticism|2046272002|.html,2,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.baltimoresun.com|news|maryland|baltimore-city|bs-md-ci-hippodrome-20181114-story.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.bbc.com|news|world-europe-46256296.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.bloomberg.com|news|articles|2018-08-30|trump-says-sessions-is-safe-at-least-until-the-november-election.html,5,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,
